Drug,Concentration_uM,Viability_percentage
Digoxin,1,21.25869924
Mirdametinib,1,75.85240074
Selumetinib,1,76.08271166
Mirdametinib,10,80.30841636
Linsitinib,1,73.78961598
Nilotinib,1,99.68457418
Onalespib,1,57.0069594
Imatinib,1,99.50433085
Trametinib,1,78.04536124
Binimetinib,1,89.53086667
Fimepinostat,1,77.82506384
Trametinib,10,78.29569919
Binimetinib,10,79.68757823
Copanlisib,1,80.4385921
Everolimus,1,82.3611876
Selumetinib,10,82.60151204
Rapamycin,1,88.03885245
Ketotifen,1,104.7013468
Cabozantinib,1,119.5313673
Staurosporine,10,8.531517549
DMSO,0,100
