Metadata_Experiment_Well,Metadata_Experiment_Treatment,Metadata_Experiment_Dose,Metadata_Experiment_Unit,Metadata_Experiment_Target,Metadata_Experiment_TherapeuticCategories,Metadata_Experiment_ViabilityPercentage,Metadata_Biology_PatientTumor,Metadata_Biology_TumorType
E7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,92.39310573,NF0021_T1,cNF
E7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,88.13263525,NF0037_T1,cNF
E7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,119.5313673,SARCO361_T1,MPNST
E7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,99.16246536,NF0055_T1,pNF
E7,Cabozantinib,1,uM,receptor tyrosine kinase inhibitor,Kinase Inhibitor,84.15327741,NF0018_T6,cNF
F7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,80.505986,NF0014_T2,pNF
F7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,86.80445151,NF0035_T1,cNF
F7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,78.32167832,SARCO219_T2,MPNST
F7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,95.74664554,NF0014_T1,cNF
F7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,85.13423931,NF0021_T1,cNF
F7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,95.20069808,NF0037_T1,cNF
F7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,89.53086667,SARCO361_T1,MPNST
F7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,92.58899445,NF0055_T1,pNF
F7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,84.8002275,NF0018_T6,cNF
G7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,80.505986,NF0014_T2,pNF
G7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,86.80445151,NF0035_T1,cNF
G7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,78.32167832,SARCO219_T2,MPNST
G7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,95.74664554,NF0014_T1,cNF
G7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,85.13423931,NF0021_T1,cNF
G7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,95.20069808,NF0037_T1,cNF
G7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,89.53086667,SARCO361_T1,MPNST
G7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,92.58899445,NF0055_T1,pNF
G7,Binimetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,84.8002275,NF0018_T6,cNF
B8,Panobinostat,1,uM,HDAC inhibitor,Histone Deacetylase Inhibitors,85.2530541,NF0037_T1,cNF
B8,Panobinostat,1,uM,HDAC inhibitor,Histone Deacetylase Inhibitors,107.0162701,NF0055_T1,pNF
C8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,96.40840298,NF0014_T2,pNF
C8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,97.09856916,NF0035_T1,cNF
C8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,88.81118881,SARCO219_T2,MPNST
C8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,87.1464563,NF0014_T1,cNF
C8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,76.88100762,NF0021_T1,cNF
C8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,99.38917976,NF0037_T1,cNF
C8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,79.68757823,SARCO361_T1,MPNST
C8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,113.50384,NF0055_T1,pNF
C8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,115.605005,NF0018_T6,cNF
D8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,96.40840298,NF0014_T2,pNF
D8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,97.09856916,NF0035_T1,cNF
D8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,88.81118881,SARCO219_T2,MPNST
D8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,87.1464563,NF0014_T1,cNF
D8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,76.88100762,NF0021_T1,cNF
D8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,99.38917976,NF0037_T1,cNF
D8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,79.68757823,SARCO361_T1,MPNST
D8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,113.50384,NF0055_T1,pNF
D8,Binimetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,115.605005,NF0018_T6,cNF
E8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,80.77704992,NF0014_T2,pNF
E8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,94.0381558,NF0035_T1,cNF
E8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,64.1025641,SARCO219_T2,MPNST
E8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,72.60523699,NF0021_T1,cNF
E8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,121.8150087,NF0037_T1,cNF
E8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,75.85240074,SARCO361_T1,MPNST
E8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,109.7569207,NF0055_T1,pNF
F8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,80.77704992,NF0014_T2,pNF
F8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,94.0381558,NF0035_T1,cNF
F8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,64.1025641,SARCO219_T2,MPNST
F8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,72.60523699,NF0021_T1,cNF
F8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,121.8150087,NF0037_T1,cNF
F8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,75.85240074,SARCO361_T1,MPNST
F8,Mirdametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,109.7569207,NF0055_T1,pNF
G8,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,123.0630224,NF0014_T2,pNF
G8,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,101.5500795,NF0035_T1,cNF
G8,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,101.3986014,SARCO219_T2,MPNST
G8,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,83.92442824,NF0021_T1,cNF
G8,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,112.8272251,NF0037_T1,cNF
G8,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,80.30841636,SARCO361_T1,MPNST
G8,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,90.78098316,NF0055_T1,pNF
B9,Panobinostat,1,uM,HDAC inhibitor,Histone Deacetylase Inhibitors,85.2530541,NF0037_T1,cNF
B9,Panobinostat,1,uM,HDAC inhibitor,Histone Deacetylase Inhibitors,107.0162701,NF0055_T1,pNF
C9,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,123.0630224,NF0014_T2,pNF
C9,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,101.5500795,NF0035_T1,cNF
C9,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,101.3986014,SARCO219_T2,MPNST
C9,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,83.92442824,NF0021_T1,cNF
C9,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,112.8272251,NF0037_T1,cNF
C9,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,80.30841636,SARCO361_T1,MPNST
C9,Mirdametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,90.78098316,NF0055_T1,pNF
D9,DMSO,1,%,Control,Control,100.0,NF0014_T2,pNF
D9,DMSO,1,%,Control,Control,100.0,NF0035_T1,cNF
D9,DMSO,1,%,Control,Control,100.0,SARCO219_T2,MPNST
D9,DMSO,1,%,Control,Control,100.0,NF0014_T1,cNF
D9,DMSO,1,%,Control,Control,100.0,NF0021_T1,cNF
D9,DMSO,1,%,Control,Control,100.0,NF0037_T1,cNF
D9,DMSO,1,%,Control,Control,100.0,SARCO361_T1,MPNST
D9,DMSO,1,%,Control,Control,100.0,NF0055_T1,pNF
D9,DMSO,1,%,Control,Control,100.0,NF0018_T6,cNF
E9,DMSO,1,%,Control,Control,100.0,NF0014_T2,pNF
E9,DMSO,1,%,Control,Control,100.0,NF0035_T1,cNF
E9,DMSO,1,%,Control,Control,100.0,SARCO219_T2,MPNST
E9,DMSO,1,%,Control,Control,100.0,NF0014_T1,cNF
E9,DMSO,1,%,Control,Control,100.0,NF0021_T1,cNF
E9,DMSO,1,%,Control,Control,100.0,NF0037_T1,cNF
E9,DMSO,1,%,Control,Control,100.0,SARCO361_T1,MPNST
E9,DMSO,1,%,Control,Control,100.0,NF0055_T1,pNF
E9,DMSO,1,%,Control,Control,100.0,NF0018_T6,cNF
F9,DMSO,1,%,Control,Control,100.0,NF0014_T2,pNF
F9,DMSO,1,%,Control,Control,100.0,NF0035_T1,cNF
F9,DMSO,1,%,Control,Control,100.0,SARCO219_T2,MPNST
F9,DMSO,1,%,Control,Control,100.0,NF0014_T1,cNF
F9,DMSO,1,%,Control,Control,100.0,NF0021_T1,cNF
F9,DMSO,1,%,Control,Control,100.0,NF0037_T1,cNF
F9,DMSO,1,%,Control,Control,100.0,SARCO361_T1,MPNST
F9,DMSO,1,%,Control,Control,100.0,NF0055_T1,pNF
F9,DMSO,1,%,Control,Control,100.0,NF0018_T6,cNF
G9,DMSO,1,%,Control,Control,100.0,NF0014_T2,pNF
G9,DMSO,1,%,Control,Control,100.0,NF0035_T1,cNF
G9,DMSO,1,%,Control,Control,100.0,SARCO219_T2,MPNST
G9,DMSO,1,%,Control,Control,100.0,NF0014_T1,cNF
G9,DMSO,1,%,Control,Control,100.0,NF0021_T1,cNF
G9,DMSO,1,%,Control,Control,100.0,NF0037_T1,cNF
G9,DMSO,1,%,Control,Control,100.0,SARCO361_T1,MPNST
G9,DMSO,1,%,Control,Control,100.0,NF0055_T1,pNF
G9,DMSO,1,%,Control,Control,100.0,NF0018_T6,cNF
B10,Sapanisertib,1,uM,mTOR inhibitor,Investigational,58.46422339,NF0037_T1,cNF
B10,Sapanisertib,1,uM,mTOR inhibitor,Investigational,69.08075716,NF0055_T1,pNF
C10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,120.9848656,NF0014_T2,pNF
C10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,79.00529963,NF0035_T1,cNF
C10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,58.74125874,SARCO219_T2,MPNST
C10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,69.36695585,NF0014_T1,cNF
C10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,86.34405038,NF0021_T1,cNF
C10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,104.7993019,NF0037_T1,cNF
C10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,78.04536124,SARCO361_T1,MPNST
C10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,117.3407508,NF0055_T1,pNF
C10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,86.29318925,NF0018_T6,cNF
D10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,120.9848656,NF0014_T2,pNF
D10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,79.00529963,NF0035_T1,cNF
D10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,58.74125874,SARCO219_T2,MPNST
D10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,69.36695585,NF0014_T1,cNF
D10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,86.34405038,NF0021_T1,cNF
D10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,104.7993019,NF0037_T1,cNF
D10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,78.04536124,SARCO361_T1,MPNST
D10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,117.3407508,NF0055_T1,pNF
D10,Trametinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,86.29318925,NF0018_T6,cNF
E10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,135.3512537,NF0014_T2,pNF
E10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,173.3306836,NF0035_T1,cNF
E10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,63.28671329,SARCO219_T2,MPNST
E10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,69.85031749,NF0014_T1,cNF
E10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,82.20086178,NF0021_T1,cNF
E10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,117.539267,NF0037_T1,cNF
E10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,78.29569919,SARCO361_T1,MPNST
E10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,118.0525019,NF0055_T1,pNF
E10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,100.7749182,NF0018_T6,cNF
F10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,135.3512537,NF0014_T2,pNF
F10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,173.3306836,NF0035_T1,cNF
F10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,63.28671329,SARCO219_T2,MPNST
F10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,69.85031749,NF0014_T1,cNF
F10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,82.20086178,NF0021_T1,cNF
F10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,117.539267,NF0037_T1,cNF
F10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,78.29569919,SARCO361_T1,MPNST
F10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,118.0525019,NF0055_T1,pNF
F10,Trametinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,100.7749182,NF0018_T6,cNF
G10,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,109.4194714,NF0014_T2,pNF
G10,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,82.90937997,NF0035_T1,cNF
G10,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,68.53146853,SARCO219_T2,MPNST
G10,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,83.46196377,NF0014_T1,cNF
G10,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,83.11236327,NF0021_T1,cNF
G10,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,95.02617801,NF0037_T1,cNF
G10,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,76.08271166,SARCO361_T1,MPNST
G10,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,108.5134016,NF0055_T1,pNF
G10,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,94.00682497,NF0018_T6,cNF
B11,Sapanisertib,1,uM,mTOR inhibitor,Investigational,58.46422339,NF0037_T1,cNF
B11,Sapanisertib,1,uM,mTOR inhibitor,Investigational,69.08075716,NF0055_T1,pNF
C11,Staurosporine,10,nM,Apoptosis induction,Experimental,7.680144567,NF0014_T2,pNF
C11,Staurosporine,10,nM,Apoptosis induction,Experimental,5.564387917,NF0035_T1,cNF
C11,Staurosporine,10,nM,Apoptosis induction,Experimental,2.097902098,SARCO219_T2,MPNST
C11,Staurosporine,10,nM,Apoptosis induction,Experimental,5.515338752,NF0014_T1,cNF
C11,Staurosporine,10,nM,Apoptosis induction,Experimental,5.046403712,NF0021_T1,cNF
C11,Staurosporine,10,nM,Apoptosis induction,Experimental,6.588132635,NF0037_T1,cNF
C11,Staurosporine,10,nM,Apoptosis induction,Experimental,8.531517549,SARCO361_T1,MPNST
C11,Staurosporine,10,nM,Apoptosis induction,Experimental,4.276642089,NF0055_T1,pNF
C11,Staurosporine,10,nM,Apoptosis induction,Experimental,6.295322053,NF0018_T6,cNF
D11,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,109.4194714,NF0014_T2,pNF
D11,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,82.90937997,NF0035_T1,cNF
D11,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,68.53146853,SARCO219_T2,MPNST
D11,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,83.46196377,NF0014_T1,cNF
D11,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,83.11236327,NF0021_T1,cNF
D11,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,95.02617801,NF0037_T1,cNF
D11,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,76.08271166,SARCO361_T1,MPNST
D11,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,108.5134016,NF0055_T1,pNF
D11,Selumetinib,1,uM,MEK1/2 inhibitor,Kinase Inhibitor,94.00682497,NF0018_T6,cNF
E11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,124.0569234,NF0014_T2,pNF
E11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,158.5850556,NF0035_T1,cNF
E11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,95.45454545,SARCO219_T2,MPNST
E11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,90.55278788,NF0014_T1,cNF
E11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,80.84189592,NF0021_T1,cNF
E11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,97.03315881,NF0037_T1,cNF
E11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,82.60151204,SARCO361_T1,MPNST
E11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,108.7833761,NF0055_T1,pNF
E11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,91.12043225,NF0018_T6,cNF
F11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,124.0569234,NF0014_T2,pNF
F11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,158.5850556,NF0035_T1,cNF
F11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,95.45454545,SARCO219_T2,MPNST
F11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,90.55278788,NF0014_T1,cNF
F11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,80.84189592,NF0021_T1,cNF
F11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,97.03315881,NF0037_T1,cNF
F11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,82.60151204,SARCO361_T1,MPNST
F11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,108.7833761,NF0055_T1,pNF
F11,Selumetinib,10,uM,MEK1/2 inhibitor,Kinase Inhibitor,91.12043225,NF0018_T6,cNF
G11,Staurosporine,10,nM,Apoptosis induction,Experimental,7.680144567,NF0014_T2,pNF
G11,Staurosporine,10,nM,Apoptosis induction,Experimental,5.564387917,NF0035_T1,cNF
G11,Staurosporine,10,nM,Apoptosis induction,Experimental,2.097902098,SARCO219_T2,MPNST
G11,Staurosporine,10,nM,Apoptosis induction,Experimental,5.515338752,NF0014_T1,cNF
G11,Staurosporine,10,nM,Apoptosis induction,Experimental,5.046403712,NF0021_T1,cNF
G11,Staurosporine,10,nM,Apoptosis induction,Experimental,6.588132635,NF0037_T1,cNF
G11,Staurosporine,10,nM,Apoptosis induction,Experimental,8.531517549,SARCO361_T1,MPNST
G11,Staurosporine,10,nM,Apoptosis induction,Experimental,4.276642089,NF0055_T1,pNF
G11,Staurosporine,10,nM,Apoptosis induction,Experimental,6.295322053,NF0018_T6,cNF
