Metadata_Experiment_Well,Metadata_Experiment_Treatment,Metadata_Experiment_Dose,Metadata_Experiment_Unit,Metadata_Experiment_Target,Metadata_Experiment_TherapeuticCategories,Metadata_Experiment_ViabilityPercentage,Metadata_Biology_PatientTumor,Metadata_Biology_TumorType
D3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,56.75675676,NF0035_T1,cNF
D3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,32.16783217,SARCO219_T2,MPNST
D3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,45.04383315,NF0014_T1,cNF
D3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,66.92078223,NF0021_T1,cNF
D3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,69.28446771,NF0037_T1,cNF
D3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,80.4385921,SARCO361_T1,MPNST
D3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,59.18987186,NF0055_T1,pNF
D3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,76.29034551,NF0018_T6,cNF
E3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,34.60582787,NF0014_T2,pNF
E3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,56.75675676,NF0035_T1,cNF
E3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,32.16783217,SARCO219_T2,MPNST
E3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,45.04383315,NF0014_T1,cNF
E3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,66.92078223,NF0021_T1,cNF
E3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,69.28446771,NF0037_T1,cNF
E3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,80.4385921,SARCO361_T1,MPNST
E3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,59.18987186,NF0055_T1,pNF
E3,Copanlisib,1,uM,PI3K inhibitor,Kinase Inhibitor,76.29034551,NF0018_T6,cNF
F3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,64.69392365,NF0014_T2,pNF
F3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,81.24006359,NF0035_T1,cNF
F3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,79.37062937,SARCO219_T2,MPNST
F3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,79.53123041,NF0014_T1,cNF
F3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,77.51077229,NF0021_T1,cNF
F3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,65.008726,NF0037_T1,cNF
F3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,73.78961598,SARCO361_T1,MPNST
F3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,93.71388835,NF0055_T1,pNF
F3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,102.7655339,NF0018_T6,cNF
G3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,64.69392365,NF0014_T2,pNF
G3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,81.24006359,NF0035_T1,cNF
G3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,79.37062937,SARCO219_T2,MPNST
G3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,79.53123041,NF0014_T1,cNF
G3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,77.51077229,NF0021_T1,cNF
G3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,65.008726,NF0037_T1,cNF
G3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,73.78961598,SARCO361_T1,MPNST
G3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,93.71388835,NF0055_T1,pNF
G3,Linsitinib,1,uM,IGF-1R inhibitor,Investigational,102.7655339,NF0018_T6,cNF
B4,Trabectedin,1,uM,DNA binding,Alkylating Drugs,61.16928447,NF0037_T1,cNF
B4,Trabectedin,1,uM,DNA binding,Alkylating Drugs,65.26838946,NF0055_T1,pNF
C4,DMSO,1,%,Control,Control,100.0,NF0014_T2,pNF
C4,DMSO,1,%,Control,Control,100.0,NF0035_T1,cNF
C4,DMSO,1,%,Control,Control,100.0,SARCO219_T2,MPNST
C4,DMSO,1,%,Control,Control,100.0,NF0014_T1,cNF
C4,DMSO,1,%,Control,Control,100.0,NF0021_T1,cNF
C4,DMSO,1,%,Control,Control,100.0,NF0037_T1,cNF
C4,DMSO,1,%,Control,Control,100.0,SARCO361_T1,MPNST
C4,DMSO,1,%,Control,Control,100.0,NF0055_T1,pNF
C4,DMSO,1,%,Control,Control,100.0,NF0018_T6,cNF
D4,DMSO,1,%,Control,Control,100.0,NF0014_T2,pNF
D4,DMSO,1,%,Control,Control,100.0,NF0035_T1,cNF
D4,DMSO,1,%,Control,Control,100.0,SARCO219_T2,MPNST
D4,DMSO,1,%,Control,Control,100.0,NF0014_T1,cNF
D4,DMSO,1,%,Control,Control,100.0,NF0021_T1,cNF
D4,DMSO,1,%,Control,Control,100.0,NF0037_T1,cNF
D4,DMSO,1,%,Control,Control,100.0,SARCO361_T1,MPNST
D4,DMSO,1,%,Control,Control,100.0,NF0055_T1,pNF
D4,DMSO,1,%,Control,Control,100.0,NF0018_T6,cNF
E4,DMSO,1,%,Control,Control,100.0,NF0014_T2,pNF
E4,DMSO,1,%,Control,Control,100.0,NF0035_T1,cNF
E4,DMSO,1,%,Control,Control,100.0,SARCO219_T2,MPNST
E4,DMSO,1,%,Control,Control,100.0,NF0014_T1,cNF
E4,DMSO,1,%,Control,Control,100.0,NF0021_T1,cNF
E4,DMSO,1,%,Control,Control,100.0,NF0037_T1,cNF
E4,DMSO,1,%,Control,Control,100.0,SARCO361_T1,MPNST
E4,DMSO,1,%,Control,Control,100.0,NF0055_T1,pNF
E4,DMSO,1,%,Control,Control,100.0,NF0018_T6,cNF
F4,DMSO,1,%,Control,Control,100.0,NF0014_T2,pNF
F4,DMSO,1,%,Control,Control,100.0,NF0035_T1,cNF
F4,DMSO,1,%,Control,Control,100.0,SARCO219_T2,MPNST
F4,DMSO,1,%,Control,Control,100.0,NF0014_T1,cNF
F4,DMSO,1,%,Control,Control,100.0,NF0021_T1,cNF
F4,DMSO,1,%,Control,Control,100.0,NF0037_T1,cNF
F4,DMSO,1,%,Control,Control,100.0,SARCO361_T1,MPNST
F4,DMSO,1,%,Control,Control,100.0,NF0055_T1,pNF
F4,DMSO,1,%,Control,Control,100.0,NF0018_T6,cNF
G4,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,75.26541676,NF0014_T2,pNF
G4,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,87.08267091,NF0035_T1,cNF
G4,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,62.58741259,SARCO219_T2,MPNST
G4,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,79.88919162,NF0014_T1,cNF
G4,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,84.18959231,NF0021_T1,cNF
G4,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,83.33333333,NF0037_T1,cNF
G4,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,82.3611876,SARCO361_T1,MPNST
G4,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,87.60673709,NF0055_T1,pNF
G4,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,79.27626902,NF0018_T6,cNF
B5,Trabectedin,1,uM,DNA binding,Alkylating Drugs,61.16928447,NF0037_T1,cNF
B5,Trabectedin,1,uM,DNA binding,Alkylating Drugs,65.26838946,NF0055_T1,pNF
C5,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,75.26541676,NF0014_T2,pNF
C5,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,87.08267091,NF0035_T1,cNF
C5,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,62.58741259,SARCO219_T2,MPNST
C5,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,79.88919162,NF0014_T1,cNF
C5,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,84.18959231,NF0021_T1,cNF
C5,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,83.33333333,NF0037_T1,cNF
C5,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,82.3611876,SARCO361_T1,MPNST
C5,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,87.60673709,NF0055_T1,pNF
C5,Everolimus,1,uM,mTOR inhibitor,Kinase Inhibitor,79.27626902,NF0018_T6,cNF
D5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,72.5547775,NF0014_T2,pNF
D5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,70.38950715,NF0035_T1,cNF
D5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,44.05594406,SARCO219_T2,MPNST
D5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,39.49429428,NF0014_T1,cNF
D5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,60.29168048,NF0021_T1,cNF
D5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,69.98254799,NF0037_T1,cNF
D5,Fimepinostat,1,uM,PI3K and HDAC inhibitor,Investigational,77.82506384,SARCO361_T1,MPNST
